Ticker,Measure,Mnemonic,Period,Value,Formula (reference),parsed_value,category
CENTA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2017"")",,zero_as_na
CENTA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,EPS Excl. Excep/GW High,IQ_EPS_EXCL_HIGH_GUIDANCE,FY2019,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_HIGH_GUIDANCE"",""FY2019"")",,zero_as_na
CENTA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2016,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2016"")",,zero_as_na
CENTA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2017"")",,zero_as_na
CENTA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,EPS Excl. Excep/GW Low,IQ_EPS_EXCL_LOW_GUIDANCE,FY2019,0,"CIQ(""CENTA"",""IQ_EPS_EXCL_LOW_GUIDANCE"",""FY2019"")",,zero_as_na
CENTA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_REVENUE_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_REVENUE_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2016,1420,"CIQ(""CENTA"",""IQ_REVENUE_GUIDANCE"",""FY2016"")",1420.0,number
CENTA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_REVENUE_GUIDANCE"",""FY2017"")",,zero_as_na
CENTA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_REVENUE_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,Revenue (point),IQ_REVENUE_GUIDANCE,FY2019,2303.98 - 2348.28,"CIQ(""CENTA"",""IQ_REVENUE_GUIDANCE"",""FY2019"")",2326.13,range
CENTA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2016,1420,"CIQ(""CENTA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2016"")",1420.0,number
CENTA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2017"")",,zero_as_na
CENTA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,Revenue High,IQ_REVENUE_HIGH_GUIDANCE,FY2019,2348.28372,"CIQ(""CENTA"",""IQ_REVENUE_HIGH_GUIDANCE"",""FY2019"")",2348.28372,number
CENTA,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2016,1420,"CIQ(""CENTA"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2016"")",1420.0,number
CENTA,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2017"")",,zero_as_na
